linenumber,fec_committee_id,fec_candidate_id,candidate_name,party,office_name,office_state,district,position,transaction_id,payee,street_1,street_2,city,state,zip_code,date,amount,purpose,cycle
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.20083,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DRIVE,,AKRON,OH,44333,2016-01-12,2360.23,VOTER CONTACT CALLS,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36168,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-12-21,375.37,VOTER CONTACT MAIL,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.1088,"RIGHT STRATEGIES, LLC",3176 SUMMIT SQUARE DRSTE B-10,"",OAKTON,VA,22124,2015-12-01,3762.94,ADVERTISING - ONLINE,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36000,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-11-25,439.09,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36819,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-11-25,439.09,VOTER CONTACT MAIL,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.1154,"RIGHT STRATEGIES, LLC",3176 SUMMIT SQUARE DRSTE B-10,"",OAKTON,VA,22124,2015-11-18,1340.62,ADVERTISING - ONLINE,2016
SE,C00524454,P00003392,HILLARY CLINTON,DEM,President,IN,,O,SE.10664,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-11-16,1034.96,VOTER CONTACT,2016
SE,C00524454,P00003392,HILLARY CLINTON,DEM,President,IN,,O,SE.15741,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-11-16,137.93,VOTER CONTACT,2016
SE,C00524454,P00003392,HILLARY CLINTON,DEM,President,IN,,O,SE.15844,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-11-16,24.11,VOTER CONTACT,2016
SE,C00524454,P00003392,HILLARY CLINTON,DEM,President,IN,,O,SE.15793,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-11-16,170.97,VOTER CONTACT,2016
SE,C00573733,P60007697,Lindsey Graham,REP,President,IN,,S,SE.4925,"CCAN Media, LLC",40055 Glenmore Court,,Paeonian Springs,VA,20129,2015-11-10,2315.47,Television advertising,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36768,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-11-03,442.24,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.35896,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-11-03,442.24,VOTER CONTACT MAIL,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.1029,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-11-01,289.34,ADVERTISING - ONLINE,2016
SE,C00575373,P60006111,RAFAEL EDWARD 'TED' CRUZ,REP,President,IN,,S,SE.4227,RIGEL STRATEGIES LLC,3948 LEGACY DRIVE,STE 106-282,PLANO,TX,75023,2015-10-26,13102.08,MEDIA,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.38508,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-10-15,1176.23,VOTER CONTACT CALLS,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.38560,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-10-15,2248.15,VOTER CONTACT CALLS,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.38456,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-10-15,2616.22,VOTER CONTACT CALLS,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.35794,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-10-14,462.88,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36716,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-10-14,462.88,VOTER CONTACT MAIL,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.38035,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-10-13,6209.75,VOTER CONTACT CALLS OVER SEVERAL WEEKS,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.973,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-10-01,515.79,ADVERTISING - ONLINE,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36664,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-09-23,929.31,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.35691,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-09-23,929.31,VOTER CONTACT MAIL,2016
SE,C00576108,P60006046,SCOTT WALKER,REP,President,IN,,S,SE24.775,EXORO STRATEGIES LLC,"2266 N. PROSPECT AVE, SUITE 410",SUITE 410,MILWAUKEE,WI,53202,2015-09-16,40.0,ONLINE ADVERTISING,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.917,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-09-01,1385.45,ADVERTISING - ONLINE,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36612,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-08-10,419.91,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.35586,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-08-10,419.91,VOTER CONTACT MAIL,2016
SE,C00576108,P60006046,SCOTT WALKER,REP,President,IN,,S,SE24.707,EXORO STRATEGIES LLC,"2266 N. PROSPECT AVE, SUITE 410",SUITE 410,MILWAUKEE,WI,53202,2015-08-03,500.0,WEB AD PLACEMENT,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.861,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-08-01,447.84,ADVERTISING - ONLINE,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36560,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-07-15,1713.89,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.35441,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-07-15,1713.89,VOTER CONTACT MAIL,2016
SE,C00576108,P60006046,SCOTT WALKER,REP,President,IN,,S,SE24.641,EXORO STRATEGIES LLC,"2266 N. PROSPECT AVE, SUITE 410",SUITE 410,MILWAUKEE,WI,53202,2015-07-13,260.0,WEB AD PLACEMENT,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4392,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-07-09,891.57,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.36503,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-07-09,891.57,VOTER CONTACT MAIL,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.805,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-07-01,851.75,ADVERTISING - ONLINE,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4346,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-06-23,4139.84,VOTER CONTACT CALLS,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4289,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-06-16,974.41,VOTER CONTACT MAIL,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.695,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-06-16,16.05,ADVERTISING - ONLINE,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.639,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-06-15,7.57,ADVERTISING - ONLINE,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4570,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-06-01,1180.83,VOTER CONTACT CALLS,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4621,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-06-01,739.91,VOTER CONTACT CALLS,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4519,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-06-01,1687.49,VOTER CONTACT CALLS,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4181,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2015-06-01,4139.84,VOTER CONTACT CALLS,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4181,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2015-05-28,2699.17,VOTER CONTACT MAIL,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.583,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-05-28,8.03,ADVERTISING - ONLINE,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.527,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-05-23,8.93,ADVERTISING - ONLINE,2016
SE,C00491290,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.23735,CLIENT FIRST CONSULTING GROUP LLC,385 AVERY LN,,MEDINA,OH,44256,2015-05-20,413.98,VOTER CONTACT CALLS OVER NEXT SEVERAL WEEKS,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.741,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-03-13,269.81,ADVERTISING - ONLINE,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.405,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-02-26,3.57,ADVERTISING - ONLINE,2016
SE,C00573154,P60007242,CARLY FIORINA,REP,President,IN,,S,SE24.349,SWIFTKURRENT,83 CABOT ST,"",BEVERLY,MA,01915,2015-02-24,23.02,ADVERTISING - ONLINE,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,S,SE.38247,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DR,,AKRON,OH,44333,2013-06-01,531.61,VOTER CONTACT,2016
